,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,3,195,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
bird,2,3,171,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
cat,0,1,1,186,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
dog,0,1,0,0,207,3,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
down,1,2,1,2,11,378,0,0,0,0,1,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
eight,0,1,1,1,1,0,392,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0
five,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
follow,0,0,0,0,0,0,0,4,162,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
forward,0,0,0,0,0,0,0,1,8,120,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
four,0,0,0,1,0,0,0,1,5,3,385,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,0,2,0,5,12,6,0,0,1,0,1,370,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
happy,0,0,0,2,0,0,0,1,0,0,0,0,193,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
house,0,0,1,1,0,1,0,1,1,0,0,2,1,177,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
learn,1,0,3,0,0,4,0,0,0,1,3,1,0,0,132,8,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0
left,0,2,0,1,0,0,1,1,0,0,0,0,0,0,4,399,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
marvin,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,186,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
nine,0,2,2,0,1,2,0,2,0,0,0,0,0,0,7,1,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,1,1,1,17,13,1,0,0,0,0,24,0,0,1,1,0,5,338,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
off,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380,15,1,1,0,0,0,0,0,0,0,4,0,0,0,0
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,383,9,0,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,386,3,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,2,2,385,0,0,0,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,399,0,4,0,0,0,0,0,0,0,0,0
sheila,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,204,1,1,0,0,0,0,0,0,0,0
six,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,390,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,404,0,0,0,2,0,0,0,0
three,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,380,17,5,0,0,0,0,0
tree,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,173,2,1,0,0,0,0
two,0,0,1,0,5,0,4,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395,2,0,0,0,2
up,0,0,0,2,1,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,411,0,0,0,0
visual,1,1,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149,0,0,5
wow,0,0,1,0,0,0,0,2,0,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0
yes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,410,2
zero,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,1,0,4,0,2,0,0,397
