,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,160,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
bed,0,185,2,3,0,0,2,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
bird,0,0,170,0,0,0,0,4,0,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cat,0,1,0,176,0,2,1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
dog,0,0,3,0,202,4,0,2,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
down,0,2,0,0,4,375,0,1,0,0,1,4,0,0,3,0,0,2,9,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
eight,0,0,1,0,0,0,386,5,0,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,2,0,4,0,0,0
five,0,0,0,0,1,0,0,438,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
follow,0,0,0,0,0,0,0,5,151,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
forward,0,0,0,0,0,0,0,0,1,141,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
four,0,0,1,0,0,0,0,1,2,9,380,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
go,0,1,0,0,2,0,0,1,0,0,1,378,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
happy,0,0,0,1,0,0,1,0,0,0,0,0,193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
house,0,0,0,0,0,1,0,1,3,0,1,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
learn,0,0,3,0,0,2,0,0,0,0,1,0,0,0,143,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
left,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,403,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
marvin,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,182,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
nine,0,1,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,397,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,1,0,0,1,4,0,0,0,0,0,7,0,0,3,1,0,1,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
off,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,383,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,382,1,0,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,385,0,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,5,3,381,0,0,0,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,1,3,2,0,0,0,0,0,0,0,1
sheila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,2,1,0,1,0,0,0,0,3
six,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,388,1,0,0,0,0,0,0,0,1
stop,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,401,0,0,0,2,0,0,0,0
three,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,380,18,2,0,2,0,0,1
tree,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,171,4,0,1,0,0,0
two,0,0,0,0,1,0,0,0,0,0,1,5,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,406,0,0,0,0,5
up,0,0,0,0,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0
visual,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,3
wow,0,0,0,0,0,0,0,3,0,0,1,3,0,0,4,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0
yes,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,412,0
zero,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,2,0,1,405
