,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,150,0,1,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0
bed,2,113,6,3,0,0,2,2,2,0,8,16,0,0,4,12,0,0,3,0,0,0,0,2,0,14,3,0,0,3,1,2,0,7,2
bird,0,0,128,0,1,0,0,10,1,2,7,6,0,1,3,3,1,0,0,1,0,0,0,2,0,7,1,9,0,1,1,0,0,0,0
cat,0,1,0,96,2,5,3,3,2,1,7,12,0,3,0,9,0,0,1,5,0,0,0,0,2,4,13,0,0,2,7,0,1,15,0
dog,0,0,0,0,165,9,0,3,0,0,8,19,0,1,2,1,1,0,1,1,0,0,0,0,0,0,4,0,0,2,0,0,1,2,0
down,0,1,0,0,15,323,0,6,3,0,2,17,0,0,1,2,0,1,13,0,0,0,0,0,0,5,4,0,0,1,0,0,9,2,1
eight,0,0,0,0,0,0,331,5,0,1,5,0,0,6,5,1,0,0,0,0,0,0,0,0,0,24,2,15,0,9,0,4,0,0,0
five,0,1,0,1,1,1,0,416,6,0,10,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
follow,0,0,0,0,1,0,0,5,129,8,19,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
forward,0,0,0,0,0,0,0,0,4,111,35,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
four,0,0,0,0,2,0,0,0,2,5,369,4,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,5,1,0,1,0,2
go,0,0,0,0,8,1,0,0,0,1,10,343,0,0,2,2,0,0,12,1,0,0,0,1,0,1,4,0,0,11,1,0,0,3,1
happy,2,0,0,2,0,0,0,0,1,0,3,1,147,8,0,4,0,0,0,3,0,0,0,4,1,3,6,1,0,0,17,0,0,0,0
house,0,0,0,0,0,0,0,2,3,0,6,2,0,168,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,2,0,0
learn,0,0,3,0,1,2,0,0,0,0,3,2,0,0,128,9,0,1,6,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0
left,3,1,0,1,0,0,0,6,0,0,6,2,0,0,11,339,0,0,4,1,0,0,0,0,0,8,2,1,0,1,3,0,9,14,0
marvin,0,0,1,0,0,0,0,19,2,1,10,0,0,0,6,0,140,2,1,0,0,0,0,1,2,2,5,0,0,0,2,1,0,0,0
nine,0,0,0,0,0,4,0,15,0,0,3,4,0,1,18,2,1,325,18,1,0,0,0,0,1,7,3,2,0,1,0,0,1,0,1
no,0,0,0,0,4,7,0,1,0,0,0,44,0,0,6,5,0,2,318,0,0,0,0,0,0,1,3,0,0,5,1,0,1,2,5
off,0,0,0,0,0,0,0,4,7,0,72,2,0,5,0,0,0,0,0,269,0,0,0,0,0,0,3,1,0,0,39,0,0,0,0
on,0,0,0,0,3,3,1,123,65,27,113,3,0,7,0,0,0,2,0,33,0,0,0,0,0,1,6,2,0,2,4,0,0,0,1
one,0,0,0,0,0,2,0,66,3,0,42,0,0,0,44,10,13,14,1,1,0,73,0,0,0,2,4,0,0,1,0,0,121,2,0
right,2,1,0,0,0,1,2,79,1,0,1,7,0,2,8,11,1,17,0,0,0,0,237,0,0,8,4,8,0,0,0,1,5,0,0
seven,1,1,0,3,1,5,0,1,4,3,13,5,0,0,11,9,0,0,0,0,0,0,0,316,1,11,4,5,0,9,1,0,0,0,2
sheila,0,0,0,0,0,0,0,1,0,0,3,2,0,0,3,6,0,0,4,0,0,0,0,0,149,2,1,2,0,7,0,0,0,4,28
six,0,0,0,0,0,0,5,1,0,0,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,358,3,2,0,2,1,1,0,5,4
stop,0,0,0,0,51,6,0,7,4,1,25,11,0,1,0,2,0,1,1,14,0,0,0,0,0,1,270,0,0,2,13,0,0,1,0
three,0,0,0,0,0,0,7,1,0,0,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,20,1,323,22,12,0,6,0,0,1
tree,0,0,1,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,3,38,119,14,0,1,0,0,2
two,0,0,0,0,0,0,4,0,0,0,14,10,0,0,8,1,0,0,4,0,0,0,0,0,4,14,1,9,0,347,0,0,0,1,7
up,0,0,0,0,1,0,2,2,3,0,4,1,1,12,0,1,0,0,0,26,0,0,0,1,0,1,4,0,0,0,366,0,0,0,0
visual,2,0,0,0,0,0,1,1,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,123,0,2,18
wow,0,0,0,0,0,1,0,12,1,1,8,8,0,0,6,6,0,1,3,0,0,0,0,0,0,2,0,1,0,0,1,0,155,0,0
yes,0,0,0,0,0,0,0,0,0,0,3,5,0,0,6,15,0,0,9,0,0,0,0,1,0,6,0,0,0,2,0,0,0,367,5
zero,0,0,1,0,0,0,0,0,0,0,6,17,0,0,18,4,0,0,21,0,0,0,0,0,4,1,2,3,0,10,0,0,0,7,324
