,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,141,1,6,0,0,0,0,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
bed,0,151,21,5,0,1,5,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,2,6,0,1,1,1,0,0,6,0,0,1,0
bird,0,0,177,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
cat,0,1,0,165,0,1,3,0,0,0,0,1,1,0,1,2,0,0,0,0,2,0,0,1,0,1,1,1,0,0,13,0,0,0,0
dog,0,0,3,0,172,11,1,0,1,0,0,9,0,0,1,1,1,1,1,1,0,2,0,0,0,0,9,3,0,0,3,0,0,0,0
down,0,1,3,1,3,373,1,3,1,0,0,2,1,0,2,1,0,2,4,0,4,0,0,1,0,0,2,0,0,1,0,0,0,0,0
eight,0,0,2,0,0,0,384,2,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,6,0,1,5,0,0,0,1
five,0,0,3,0,0,1,1,390,2,0,0,0,0,0,0,0,0,7,0,7,25,2,0,1,0,0,1,0,0,0,5,0,0,0,0
follow,0,0,1,0,1,1,0,0,141,12,5,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0
forward,0,0,1,1,0,0,0,0,4,132,13,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
four,0,0,0,0,0,0,0,0,4,20,351,6,0,0,1,0,0,0,1,8,2,1,0,0,1,0,2,1,0,1,0,0,0,0,1
go,0,1,6,1,3,8,0,0,0,1,2,339,0,2,3,1,0,0,19,0,0,0,0,0,0,0,0,1,0,10,5,0,0,0,0
happy,0,0,0,3,0,0,1,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0
house,0,0,0,2,0,0,0,0,0,0,0,1,2,174,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,5,0,1,0,0
learn,0,0,12,0,0,1,0,0,0,1,2,0,0,0,128,5,1,0,1,0,0,3,0,0,1,0,0,4,0,1,0,1,0,0,0
left,1,1,6,5,0,0,0,0,0,0,0,0,0,0,8,366,0,0,1,0,0,0,0,0,0,1,1,2,0,1,15,0,0,3,1
marvin,0,0,6,0,0,0,0,1,0,1,0,1,0,0,2,0,182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nine,0,0,0,0,0,2,0,5,0,0,0,0,0,0,5,2,0,385,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
no,0,0,3,0,2,9,0,0,0,0,0,27,1,2,3,2,0,3,345,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1
off,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,346,0,0,0,0
on,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,292,0,0,0,0
one,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,307,0,0,0,0
right,1,0,8,0,0,0,0,6,0,0,0,0,0,0,1,0,0,26,0,0,1,2,104,0,0,0,0,0,0,0,247,0,0,0,0
seven,0,0,7,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,386,1,2,1,1,0,1,0,0,0,0,1
sheila,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,0,0,1,0,1,0,1,0,0,3
six,0,1,4,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,364,1,6,0,1,1,0,0,0,0
stop,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,350,1,0,1,47,0,0,0,0
three,0,0,12,0,0,0,4,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,369,7,6,1,0,0,0,0
tree,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,153,3,1,1,0,0,0
two,0,0,0,0,0,0,5,0,0,0,1,7,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,10,0,392,2,0,0,0,3
up,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,1,9,4,0,0,0,0,0,0,2,0,0,402,0,0,0,0
visual,1,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,147,0,1,7
wow,1,0,0,0,0,5,0,1,1,1,2,12,0,1,1,1,1,0,2,0,0,6,0,0,0,0,1,2,0,0,0,0,168,0,0
yes,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,5,2,2,0,396,1
zero,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,0,2,1,1,0,1,0,3,0,3,0,0,398
