,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,152,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0
bed,1,158,5,9,0,0,0,0,0,0,1,3,0,0,0,6,2,1,0,1,0,0,1,10,0,1,0,0,1,0,1,2,0,3,1
bird,0,1,171,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0
cat,0,0,0,182,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,2,0
dog,0,1,2,0,168,4,0,0,0,1,0,14,0,0,1,0,2,2,5,1,0,1,0,1,0,0,13,1,0,0,1,0,0,2,0
down,1,1,0,1,0,356,0,0,0,0,1,15,1,0,4,0,1,4,8,0,0,0,0,3,1,0,4,1,0,1,1,0,0,0,2
eight,0,1,1,1,0,1,366,0,0,0,1,0,2,2,0,0,0,1,0,1,3,0,0,1,1,4,0,16,1,2,1,1,0,0,1
five,0,0,2,0,0,1,0,411,3,0,0,0,0,0,0,2,1,4,0,2,9,2,0,1,0,0,3,2,0,0,1,0,1,0,0
follow,0,0,1,0,0,0,0,0,144,8,7,1,0,1,0,0,0,0,0,1,4,0,0,1,1,0,2,0,0,1,0,0,0,0,0
forward,1,0,1,0,0,2,0,0,4,126,18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
four,0,0,0,1,0,0,0,0,4,14,358,7,0,0,2,0,1,0,0,1,0,1,0,2,1,0,3,2,0,2,1,0,0,0,0
go,1,1,0,1,0,3,0,0,1,0,2,358,0,0,2,1,0,0,10,3,0,0,0,2,0,1,2,3,0,4,1,1,0,1,4
happy,0,0,1,5,0,0,0,0,0,0,0,1,184,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,5,1,0,0,0
house,0,0,0,2,0,2,0,0,0,0,0,1,1,177,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
learn,0,0,4,0,0,0,0,0,1,0,1,2,0,0,135,4,1,1,4,0,0,3,0,1,1,0,0,1,0,0,0,1,0,1,0
left,0,1,3,2,0,0,0,0,0,0,0,1,1,0,2,382,0,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,10,2
marvin,0,0,1,0,0,0,0,0,1,0,1,0,2,0,4,0,183,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
nine,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,1,0,389,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
no,0,1,0,0,0,5,0,0,0,0,0,14,0,1,5,3,2,1,364,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,5
off,0,0,0,0,0,0,0,0,2,3,4,2,0,1,0,2,0,0,1,344,7,0,0,1,0,0,0,1,0,0,33,1,0,0,0
on,0,0,0,0,0,2,0,1,2,0,3,2,0,2,0,0,0,1,0,9,367,4,0,0,0,0,3,0,0,0,0,0,0,0,0
one,0,1,0,0,0,0,0,0,2,0,4,0,0,0,6,4,3,4,0,0,4,357,2,0,0,0,1,1,0,0,0,0,9,0,1
right,1,0,0,0,1,1,0,10,0,0,0,1,0,0,1,5,1,20,0,1,0,3,339,2,0,2,0,6,0,1,0,0,1,0,0
seven,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,391,0,3,1,1,0,0,0,0,0,0,2
sheila,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,1,1,1,1,0,0,0,0,4
six,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,372,2,6,0,0,0,0,0,0,1
stop,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,394,1,0,1,9,0,0,0,0
three,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,366,20,6,0,0,0,0,0
tree,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,160,2,0,1,0,0,0
two,0,0,0,0,0,0,2,0,0,2,2,8,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,10,7,381,0,0,0,0,3
up,0,0,0,0,0,1,0,1,0,0,0,1,4,2,0,0,0,0,0,4,0,0,0,3,0,1,5,1,0,0,402,0,0,0,0
visual,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,155,0,0,3
wow,0,0,0,0,0,4,0,0,1,1,1,7,0,0,1,2,2,0,6,0,0,5,1,0,0,0,0,1,0,0,0,0,173,1,0
yes,0,0,1,4,0,1,1,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,398,2
zero,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,3,0,8,0,2,0,0,397
