,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,148,1,2,0,0,0,1,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0
bed,0,166,6,1,0,1,7,0,0,0,0,3,0,0,1,4,0,4,0,0,0,0,3,3,0,1,0,1,0,0,1,4,0,0,1
bird,0,4,164,0,0,0,1,1,0,0,1,2,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,1
cat,0,2,0,172,0,6,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0
dog,0,1,1,0,186,8,0,1,0,0,1,11,0,0,2,1,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
down,1,2,0,1,2,371,1,1,1,0,1,5,0,0,4,0,0,2,5,0,0,0,0,4,0,0,0,0,0,2,0,1,1,1,0
eight,0,0,1,0,0,0,392,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,2,0,0,0
five,1,0,0,0,1,0,2,431,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
follow,0,0,0,0,0,0,0,9,121,21,12,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
forward,0,0,3,0,0,0,0,0,0,125,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
four,0,0,0,0,0,0,0,2,2,15,371,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,0,0,0
go,0,1,1,1,4,13,0,0,1,0,5,343,0,0,0,1,0,0,24,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,1
happy,0,0,0,4,0,0,3,2,0,0,0,1,187,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0
house,0,0,1,2,0,1,0,2,0,0,0,1,1,176,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0
learn,0,2,2,0,0,7,0,0,0,0,1,2,0,0,127,4,0,7,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,2
left,1,3,0,3,0,0,0,1,0,0,1,0,0,0,11,375,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,3,1,7,0
marvin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,176,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
nine,0,0,2,0,1,2,0,2,0,0,0,0,0,0,3,1,1,393,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
no,0,1,0,0,1,18,0,0,0,0,1,13,0,0,4,1,0,13,349,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
off,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,367,13,2,0,0,0,0,0,0,0,0,16,0,0,0,0
on,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,363,16,0,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,372,16,0,0,0,0,0,0,0,0,0,2,0,0
right,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,0,4,0,5,376,0,0,0,0,0,0,0,0,0,0,0,0
seven,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,1,0,0,0,0,0,1,0,0,2
sheila,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,2,2,1,0,0,0,1,5
six,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,375,0,2,1,2,0,0,0,0,2
stop,0,0,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,385,0,0,0,9,0,0,0,1
three,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,355,25,5,0,4,0,0,4
tree,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,162,3,1,0,0,0,0
two,0,0,0,0,0,0,1,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,395,0,0,0,0,8
up,0,0,0,1,1,1,5,2,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,406,0,0,0,0
visual,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,156,0,0,2
wow,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0
yes,0,0,1,3,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,403,0
zero,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,8,4,0,0,2,0,5,0,9,0,1,384
