,backward,bed,bird,cat,dog,down,eight,five,follow,forward,four,go,happy,house,learn,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,visual,wow,yes,zero
backward,159,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
bed,0,189,6,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0
bird,0,1,176,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
cat,1,0,0,185,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
dog,2,1,0,0,206,1,1,1,0,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
down,1,3,0,1,1,383,0,0,1,0,0,4,0,0,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
eight,0,0,0,1,1,0,401,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
five,0,1,0,0,0,0,0,434,3,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
follow,0,0,0,0,0,0,0,3,161,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
forward,0,0,0,0,0,0,0,0,3,138,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
four,0,0,0,1,1,0,0,0,7,2,381,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
go,0,1,1,2,4,3,0,0,0,0,1,375,0,0,1,1,0,0,8,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0
happy,0,0,0,1,0,0,2,0,0,0,0,1,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
house,0,0,1,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
learn,0,0,3,0,1,0,1,0,1,0,1,0,0,0,144,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
left,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,406,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
marvin,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nine,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,399,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,0,1,0,1,2,0,0,0,0,0,4,0,0,0,1,0,5,389,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,3,1,0,0,0,0,0,0,0,0,9,0,0,0,0
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,382,5,1,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,389,3,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,381,0,0,0,0,0,0,0,0,0,0,0,0
seven,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,3,2,1,0,0,0,0,0,0,0,1
sheila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,206,0,0,0,2,2,0,0,0,0,0
six,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,388,0,1,0,1,0,0,0,0,0
stop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,404,0,0,0,2,0,0,0,1
three,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,384,14,1,0,0,0,0,0
tree,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,174,2,0,1,0,0,0
two,0,0,0,0,3,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,406,0,0,0,0,6
up,1,0,0,0,0,1,2,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,412,0,0,0,0
visual,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,159,0,1,1
wow,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,199,0,0
yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,415,2
zero,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,4,0,0,0,0,1,0,1,0,0,405
