Epoch,Train Loss,Train Accuracy ,Val Loss,Val Accuracy
0,0.7978201,,0.409480154,86.46292877
1,0.2516894,,0.248119115,92.57467651
2,0.1901195,,0.240379214,92.80701446
3,0.1557283,,0.203507289,93.99842834
4,0.1275037,,0.200455546,94.10762023
5,0.1093423,,0.177721589,94.72056579
6,0.0918707,,0.164782240,95.66158294
7,0.0787330,,0.174219220,95.23236846
8,0.0662895,,0.191661447,95.1612777
9,0.0562179,,0.185898944,95.27046203
10,0.0504911,,0.242215767,94.1591
11,0.0422811,,0.196058496,95.80181121
12,0.0377291,,0.195637255,95.78079223
13,0.0130728,,0.175667971,96.41229248
14,0.0069882,,0.178179904,96.37223052
15,0.0042477,,0.184574216,96.22248077
16,0.0021399,,0.199814587,96.25203704
17,0.0011913,,0.206272587,96.2820816
18,0.0006077,,0.212548360,96.18241882
19,0.0002962,,0.212298586,96.19243621
20,0.0002439,,0.211978003,96.26205444
21,0.0001969,,0.214067071,96.3121337
22,0.0001822,,0.215740323,96.29209899
23,0.0001457,,0.217079699,96.2820816
